"muni_code","votos","izq","centroizq","dcha"
27001,17744,3245,7184,3105
27002,11084,1589,2809,3926
27003,31072,11349,29969,0
27004,30261,8516,23102,1801
27005,2526,425,1194,427
27006,25282,7507,19899,1958
27007,22310,1484,4429,6576
27008,13552,2285,6311,2535
27009,14172,4017,9878,940
27010,22492,1423,3862,6770
27011,27279,8081,21657,2025
27012,25832,5953,17688,4077
27013,7087,996,3803,1614
27014,20840,618,3782,6592
27015,20244,2764,7564,4660
27016,45932,15323,40650,1886
27017,13360,1715,3702,3399
27018,31324,5855,17570,4647
27019,18979,1954,5277,3560
27020,42768,5243,13993,10788
27021,14063,4168,9035,2675
27022,33554,2473,8834,8029
27023,17430,952,3939,4163
27024,20319,3850,9586,3725
27025,8932,622,1551,2686
27026,15031,3511,7777,2770
27027,11965,2544,6348,2182
27028,74307,9913,25839,16138
27029,13095,1901,6116,2439
27030,26455,3627,9960,5949
27031,42256,7979,19038,7841
27032,31590,11475,30565,10
27033,6829,1209,3030,1301
27034,22675,4531,11736,4514
27035,5982,1486,3720,852
27036,22088,6588,16710,1646
27037,20332,2972,7289,4659
27038,25451,8483,17006,5640
27039,16945,623,2961,4985
27040,50672,18902,49172,0
27041,46058,4220,11270,11146
27042,17211,1846,4875,4363
27043,8640,509,1421,2485
27044,25604,7115,15959,4704
27045,14739,3952,10858,0
27046,13853,3272,8670,1738
27047,16699,4765,12547,1398
27049,7684,1194,3867,1186
27050,14372,2413,4867,3003
27051,29550,5296,14134,5723
27052,12638,3035,6623,1297
27054,9573,408,1113,3103
27055,15887,1860,5856,3286
27056,2196,317,839,435
27057,30215,4571,12653,6103
27058,28467,2979,7067,7484
27059,26386,3355,7507,6553
27060,37449,12805,34052,1132
27061,13224,2077,6279,4191
27062,8704,13,2542,2564
27063,10293,933,3452,2920
27064,10529,2364,6165,1412
27065,51567,5141,12276,13789
27066,34450,8433,19572,4383
27500,10770,1906,5052,1906
27501,7986,493,1290,2358
